well,Date,subsidence,tds,gwr_elev
895,2/22/16,21.96,,
895,2/21/16,18.89,,
895,2/20/16,18.27,,
895,2/19/16,26.27,,
895,2/18/16,20.99,,
895,2/17/16,27.42,,
895,2/16/16,18.54,,
895,2/15/16,18.29,,
895,2/14/16,22.31,,
895,2/13/16,19.56,,
895,2/12/16,18.12,,
895,2/11/16,18.44,,
895,2/10/16,16.9,,
895,2/9/16,14.81,,
895,2/8/16,16.66,,
895,2/7/16,16.42,,
895,2/6/16,15.15,,
895,2/5/16,14.53,,
895,2/4/16,15.36,,
895,2/3/16,19.58,,
895,2/2/16,21.84,,
895,2/1/16,29.11,,
895,1/31/16,23.29,,
895,1/30/16,33.83,,
895,1/29/16,29.61,,
895,1/28/16,16.72,,
895,1/27/16,13.75,,
895,1/26/16,18.26,,
895,1/25/16,19.79,,
895,1/24/16,27.75,,
895,1/23/16,24.28,,
895,1/22/16,20.52,,
895,1/21/16,19.4,,
895,1/20/16,22.12,,
895,1/19/16,14.92,,
895,1/18/16,23.73,,
895,1/17/16,19.47,,
895,1/16/16,22.07,,
895,1/15/16,20.35,,
895,1/14/16,24.72,,
895,1/13/16,24.28,,
895,1/12/16,17.95,,
895,1/11/16,18.2,,
895,1/10/16,17.02,,
895,1/9/16,25,,
895,1/8/16,23.53,,
895,1/7/16,14.46,,
895,1/6/16,20.64,,
895,1/5/16,22.86,,
895,1/4/16,23.57,,
895,1/3/16,17.85,,
895,1/2/16,27.19,,
895,1/1/16,22.2,,
895,12/31/15,22.41,,
895,12/30/15,22.43,,
895,12/29/15,26.31,,
895,12/28/15,27.55,,
895,12/27/15,20.1,,
895,12/26/15,23.03,,
895,12/25/15,24.16,,
895,12/24/15,30.62,,
895,12/23/15,36.45,,
895,12/22/15,39.4,,
895,12/21/15,29.71,,
895,12/20/15,28.26,,
895,12/19/15,25.1,,
895,12/18/15,22.14,,
895,12/17/15,29.37,,
895,12/16/15,26.65,,
895,12/15/15,25.24,,
895,12/14/15,33.12,,
895,12/13/15,29.95,,
895,12/12/15,30.48,,
895,12/11/15,35.13,,
895,12/10/15,30.69,,
